Date,Tourn,Rnd,Match,Score,Tries,Pnts,Venue,Neut.
"Sun, 16 Jan 1909",5N,,WAL v ENG,8-0,2:0,4-0,Cardiff Arms Park,
"Sun, 30 Jan 1909",,,ENG v FRA,22-0,6:0,5-0,"Welford Rd, Leicester",
"Sat, 06 Feb 1909",5N,,SCO v WAL,3-5,0:1,1-4,Inverleith,
"Sat, 13 Feb 1909",5N,,IRE v ENG,5-11,1:3,0-4,"Lansdowne Rd, Dublin",
"Tue, 23 Feb 1909",,,FRA v WAL,5-47,01:11,0-5,"Stade Colombes, Paris",
"Sat, 27 Feb 1909",5N,,SCO v IRE,9-3,3:0,4-0,Inverleith,
"Sat, 13 Mar 1909",5N,,WAL v IRE,18-5,4:1,5-0,Swansea,
"Sat, 20 Mar 1909",,,IRE v FRA,19-8,4:2,5-0,"Lansdowne Rd, Dublin",
"Sat, 20 Mar 1909","5N,CA",,ENG v SCO,8-18,2:4,0-5,Richmond,
"Sun, 01 Jan 1910",5N,,WAL v FRA,49-14,10:2,5-0,Swansea,
"Sun, 15 Jan 1910",5N,,ENG v WAL,11-6,2:2,4-1,"Twickenham, London",
"Sun, 22 Jan 1910",5N,,SCO v FRA,27-0,7:0,5-0,Inverleith,
"Sat, 05 Feb 1910",5N,,WAL v SCO,14-0,4:0,5-0,Cardiff Arms Park,
"Sat, 12 Feb 1910",5N,,ENG v IRE,0-0,0:0,2-2,"Twickenham, London",
"Sat, 26 Feb 1910",5N,,IRE v SCO,0-14,0:4,0-5,"Balmoral Showground, Belfast",
"Thu, 03 Mar 1910",5N,,FRA v ENG,3-11,1:3,0-4,"Parc des Princes, Paris",
"Sat, 12 Mar 1910",5N,,IRE v WAL,3-19,1:5,0-5,"Lansdowne Rd, Dublin",
"Sat, 19 Mar 1910","5N,CA",,SCO v ENG,5-14,1:4,0-5,Inverleith,
"Mon, 28 Mar 1910",5N,,FRA v IRE,3-8,1:2,1-4,"Parc des Princes, Paris",
"Sat, 25 Jun 1910",TO,,AUS v NZL,0-6,0:2,0-4,"Cricket Ground, Sydney",
"Mon, 27 Jun 1910",TO,,AUS v NZL,11-0,3:0,4-0,"Cricket Ground, Sydney",
"Sat, 02 Jul 1910",TO,,AUS v NZL,13-28,2:8,0-5,"Cricket Ground, Sydney",
"Sat, 06 Aug 1910",LT,1,SAF v LIO,14-10,4:2,5-1,"Wanderers, Johannesburg",
"Sat, 27 Aug 1910",LT,2,SAF v LIO,3-8,1:2,1-4,"Crusader, Pt Elizabeth",
"Sat, 03 Sep 1910",LT,3,SAF v LIO,21-5,4:1,5-0,"Newlands, Cape Town",
"Tue, 02 Jan 1911",5N,,FRA v SCO,16-15,4:3,5-1,"Stade Colombes, Paris",
"Sun, 21 Jan 1911",5N,,WAL v ENG,15-11,4:3,5-1,Swansea,
"Sun, 28 Jan 1911",5N,,ENG v FRA,37-0,7:0,5-0,"Twickenham, London",
"Sat, 04 Feb 1911",5N,,SCO v WAL,10-32,2:8,0-5,Inverleith,
"Sat, 11 Feb 1911",5N,,IRE v ENG,3-0,1:0,4-1,"Lansdowne Rd, Dublin",
"Sat, 25 Feb 1911",5N,,SCO v IRE,10-16,2:4,0-5,Inverleith,
"Tue, 28 Feb 1911",5N,,FRA v WAL,0-15,0:3,0-4,"Parc des Princes, Paris",
"Sat, 11 Mar 1911",5N,,WAL v IRE,16-0,3:0,4-0,Cardiff Arms Park,
"Sat, 18 Mar 1911","5N,CA",,ENG v SCO,13-8,3:2,4-1,"Twickenham, London",
"Sat, 25 Mar 1911",5N,,IRE v FRA,25-5,5:1,5-0,"Mardyke, Cork",
"Tue, 01 Jan 1912",5N,,FRA v IRE,6-11,2:3,1-4,"Parc des Princes, Paris",
"Sun, 20 Jan 1912",5N,,SCO v FRA,31-3,6:1,5-0,Inverleith,
"Sun, 20 Jan 1912",5N,,ENG v WAL,8-0,2:0,4-0,"Twickenham, London",
"Sat, 03 Feb 1912",5N,,WAL v SCO,21-6,3:2,4-0,Swansea,
"Sat, 10 Feb 1912",5N,,ENG v IRE,15-0,5:0,5-0,"Twickenham, London",
"Sat, 24 Feb 1912",5N,,IRE v SCO,10-8,1:2,4-1,"Lansdowne Rd, Dublin",
"Sat, 09 Mar 1912",5N,,IRE v WAL,12-5,2:1,4-0,"Balmoral Showground, Belfast",
"Sat, 16 Mar 1912","5N,CA",,SCO v ENG,8-3,2:1,4-1,Inverleith,
"Mon, 25 Mar 1912",5N,,WAL v FRA,14-8,4:2,5-0,Newport,
"Mon, 08 Apr 1912",5N,,FRA v ENG,8-18,2:4,0-5,"Parc des Princes, Paris",
"Sat, 16 Nov 1912",TO,,USA v AUS,8-12,1:3,1-4,Berkeley,
"Sat, 23 Nov 1912","TO,GS",1,SCO v SAF,0-16,0:4,0-5,Inverleith,
"Sat, 30 Nov 1912","TO,GS",2,IRE v SAF,0-38,00:10,0-5,"Lansdowne Rd, Dublin",
"Sat, 14 Dec 1912","TO,GS",3,WAL v SAF,0-3,0:0,1-4,Cardiff Arms Park,
"Thu, 01 Jan 1913",5N,,FRA v SCO,3-21,1:5,0-5,"Parc des Princes, Paris",
"Sun, 04 Jan 1913","TO,GS",4,ENG v SAF,3-9,1:1,0-4,"Twickenham, London",
"Sun, 11 Jan 1913","TO,GS",5,FRA v SAF,5-38,1:9,0-5,"Stade Municipal, Bordeaux",
"Sun, 18 Jan 1913",5N,,WAL v ENG,0-12,0:2,0-4,Cardiff Arms Park,
"Sun, 25 Jan 1913",5N,,ENG v FRA,20-0,6:0,5-0,"Twickenham, London",
